1|5555555555|555555555555|$34.24
2|4444444444|aaaaaaaaaaaa|$8.56
1|5555555555|555555555555555|$14.98
1|5555555555|Andrew|$12.84
1|2222222222|Bobby|$8.56
1|2222222222|aaaaaaaaaa|$8.56
1|2222222222|aaaaaaaaaa|$8.56
1|2222222222|aaaaaaaaaaaaa|$8.56
1|2222222222|aaaaaaaaaaaaa|$8.56
2|3333333333|andrew|$8.56
1|4444444444|aaaaa|$8.56
1|6666666666|Bobbjj|$8.56
1|2222222222|aaaaaaaaaaaaa|$10.70
31|1111111111|Customer One|$164.78
32|1111111111|Customer One|$171.20
33|1111111111|Customer One|$171.20
34|1111111111|Customer One|$171.20
35|1111111111|Customer One|$171.20
36|1234567891|Sam Davison|$96.30
37|2222222222|zzzzzzzzzzzzzzzzzzzzzz|$64.20
38|1111111111|Customer One|$171.20
39|1111111111|Customer One|$171.20
40|1111111111|Customer One|$171.20
41|1111111111|Customer One|$222.56
